amount,bid_id,description,id,name
50.00,6458,,6571,Linty
40.00,6458,,6525,Irma
15.00,6458,,6627,RyanD
1916.69,6453,,6503,Texas
140.00,6453,,6530,RyanD
115.00,6453,,6601,Blook
65.00,6453,,6499,Bob
51.00,6453,,6533,Alto
45.00,6453,,6508,Jeff
5.00,6453,,6614,Crono
1575.69,6461,,6463,Hug Lucca
432.00,6461,,6462,Hug Marle
940.00,6460,,6565,2poch
41.00,6460,,6625,ASTRO
40.00,6460,,6559,LUL
21.00,6460,,6632,Mach5
20.00,6460,,6630,TARDIS
5.00,6460,,6618,Gotix
1110.69,6456,,6588,Luci
255.00,6456,,6558,Glenn
243.00,6456,,6575,Fropy
45.00,6456,,6540,Champ
35.00,6456,,6534,Fark
1180.00,6454,,6515,NERD!
100.00,6454,,6529,Nacho
1292.41,6459,,6562,Taako
290.00,6459,,6613,Janus
270.00,6459,,6513,DexFM
50.00,6459,,6629,WEXIL
10.00,6459,,6633,Guile
150.00,6455,,6621,Sally
150.00,6455,,6528,Salsa
150.00,6455,,6617,Tifa
370.00,6457,,6585,R66-Y
363.69,6457,,6536,RyanD
205.00,6457,,6557,smerb
120.00,6457,,6522,RickA
75.00,6457,,6592,Night
40.00,6457,,6626,Rusty
25.00,6457,,6611,darb
20.00,6457,,6526,Robyc
1976.00,6464,,6466,Resident Evil 2
1596.00,6464,,6465,Resident Evil 1
1253.37,6476,,6593,Mog (from FF6)
1209.00,6476,,6594,Zelda
1060.00,6476,,6479,Samus
697.74,6476,,6477,Dark Link
540.00,6476,,6480,Kirby
539.69,6476,,6481,Garfield
295.00,6476,,6478,Locked Chest
227.29,6476,,6482,Marisa (from Touhou)
1307.14,6474,,6514,Pickle Link
316.42,6474,,6501,Houston
95.00,6474,,6556,360NoSword
72.00,6474,,6516,Iwata
55.00,6474,,6596,Crushbone
25.55,6474,,6520,JOHN CENA
1471.40,6471,,6472,Swordless Mode
361.00,6471,,6473,Open Mode
22252.53,6489,,6490,Save the Animals
11460.25,6489,,6491,Kill the Animals
7794.50,6475,,6649,OpieOP
1635.00,6475,,6504,Houstn
525.00,6475,,6637,Remmy
250.00,6475,,6587,Oats
136.00,6475,,6541,Cedore
135.00,6475,,6574,CptTex
130.00,6475,,6511,Chrono
120.00,6475,,6644,Wooooo
100.00,6475,,6668,Alma
65.00,6475,,6591,Toot
25.00,6475,,6667,Harvey
307.00,6495,,6642,Dad
300.00,6495,,6584,Radix
50.00,6495,,6553,Ellwyn
45.00,6495,,6636,Ojisan
1057.67,6496,,6641,ARBYS
305.00,6496,,6652,Bread
240.00,6496,,6547,TEKKEN
53.00,6496,,6651,Shadow
10.00,6496,,6664,Wedgie
590.00,6488,,6563,Spoony
552.00,6488,,6597,Robin
100.00,6488,,6662,Lindnr
65.00,6488,,6572,Bard
20.00,6488,,6560,Maddy
10.00,6488,,6623,Edbard
325.00,6497,,6648,ToFuHa
170.00,6497,,6570,rpgDed
72.00,6497,,6654,Puddin
50.00,6497,,6665,upt Co
25.00,6497,,6655,Mop
600.00,6483,,6639,Corpus
125.00,6483,,6638,Aero
60.00,6483,,6616,SADMAN
33.33,6483,,6566,furit
5.00,6483,,6578,Traitor
482.50,6493,,6505,Porom
365.00,6493,,6579,Mac
50.00,6493,,6656,Dallas
15.00,6493,,6607,BDR
5.00,6493,,6549,Star
544.50,6494,,6506,Palom
375.00,6494,,6580,Cheese
60.00,6494,,6657,FtWrth
5.00,6494,,6550,Heart
420.00,6551,,6640,Linka
345.00,6551,,6635,ADAAAA
340.00,6551,,6555,Relief
415.00,6485,,6658,BERSK
411.00,6485,,6554,Waifu
300.00,6485,,6659,Port A
300.00,6485,,6634,Sloane
50.00,6485,,6643,Lydia
25.00,6485,,6577,Hayli
20.00,6485,,6567,Obsty
177.00,6486,,6543,OldMan
25.00,6486,,6660,Hugo
15.00,6486,,6564,KevinM
10.00,6486,,6631,0
10.00,6486,,6542,JAWN
210.00,6492,,6546,Josh
34.00,6492,,6521,Yin
10.80,6492,,6645,Petch
10.00,6492,,6666,Baller
45.00,1846,,2102,yellow
5.00,1846,,2097,dark blue
0.00,1846,,2098,green
0.00,1846,,2099,light blue
0.00,1846,,2100,pink
0.00,1846,,2101,red
40.02,1809,,1893,japanese
25.51,1809,,1890,french
0.00,1809,,1889,english
0.00,1809,,1891,german
0.00,1809,,1892,italian
0.00,1809,,1894,spanish
231.00,1819,,1941,jill
159.00,1819,,1940,chris
36.00,1856,,2139,carnival
35.01,1856,,2141,karate
0.00,1856,,2140,devil hand
0.00,1856,,2142,normal
20.00,1863,,2169,bunny
0.00,1863,,2170,normal
20.00,1827,,1970,toejam
15.00,1827,,1969,earl
100.00,1835,,2008,michaelangelo
75.00,1835,,2009,raphael
55.00,1835,,2007,leonardo
20.00,1835,,2006,donatello
140.00,1823,,1958,tri-hex (shirtless)
131.00,1823,,1956,samm
40.00,1823,,1954,breakdown
30.00,1823,,1955,kari
25.00,1823,,1957,smk
323.00,1825,,1966,tails
172.00,1825,,1965,sonic
8.00,1825,,1964,knuckles
252.99,1836,,2010,dark
227.01,1836,,2011,hero
1001.00,1821,,1946,mega man
550.00,1821,,1945,bass
382.00,1815,,1928,100%
143.33,1815,,1929,low%
10.00,1807,,1883,dragondarch's
5.00,1807,,1884,pj's
10.00,1850,,2119,dale
0.00,1850,,2118,chip
313.50,1844,,2044,super mario world
187.00,1844,,2043,lost levels
675.00,1857,,2143,alucard
586.00,1857,,2145,sypha
10.00,1857,,2144,grant
0.00,1857,,2146,trevor only
275.00,1828,,1971,brooks
270.00,1828,,1976,sheath
260.01,1828,,1975,sephiroth
85.00,1828,,1974,oglop
10.00,1828,,1973,lightning
5.00,1828,,1972,castiel
912.00,1830,,1984,wak
580.00,1830,,1982,lunk
80.00,1830,,1981,hppo
40.01,1830,,1983,rane
10.00,1830,,1985,zeld
45.00,1826,,1967,all bosses
0.00,1826,,1968,any%
889.95,1859,,2155,old bobby
50.00,1859,,2154,mr. t
10.00,1859,,2153,grrrrr
1239.90,1845,,2071,ff6
1110.00,1845,,2088,none
545.71,1845,,2074,ff9
490.55,1845,,2070,ff5
484.69,1845,,2072,ff7
329.95,1845,,2095,tactics
219.00,1845,,2073,ff8
204.57,1845,,2086,mystic quest
156.20,1845,,2068,ff4
125.00,1845,,2090,quest 64
120.00,1845,,2063,ff13
112.00,1845,,2077,ffx
110.00,1845,,2078,ffx2
100.00,1845,,2061,ff11
61.00,1845,,2053,crystal chronicles
57.50,1845,,2080,golden sun
50.00,1845,,2062,ff12
50.00,1845,,2069,ff4 ds
50.00,1845,,2079,fluttershy
50.00,1845,,2091,rainbow dash
45.00,1845,,2054,dirge of cerberus
40.00,1845,,2046,all
32.50,1845,,2076,ffta
31.89,1845,,2060,ff1
30.00,1845,,2047,blitzball
30.00,1845,,2058,earthbound
30.00,1845,,2081,half-life
25.00,1845,,2089,phantasy star 4
25.00,1845,,2096,the final fantasy legend
21.00,1845,,2094,spirits within
20.00,1845,,2045,1994 anime
20.00,1845,,2050,chocobo world
20.00,1845,,2067,ff3
20.00,1845,,2082,kingdom hearts
15.00,1845,,2055,dissidia
15.00,1845,,2057,drew carey show
15.00,1845,,2065,ff14
10.00,1845,,2051,chocobo_dungeon
10.00,1845,,2059,ehrgeiz
10.00,1845,,2075,ff:cc:my life as a king
10.00,1845,,2083,lagoon
10.00,1845,,2085,lufia 2
6.00,1845,,2049,chocobo racing
6.00,1845,,2066,ff2
5.00,1845,,2048,charles barkley: shut up and jam
5.00,1845,,2052,chrono trigger
5.00,1845,,2056,dissidia 012
5.00,1845,,2064,ff13-2
5.00,1845,,2084,legend of dragoon
5.00,1845,,2092,shaq fu
5.00,1845,,2093,smk
1.00,1845,,2087,neskamikaze
283.50,1831,,1986,esports
225.00,1831,,1994,theyetee
120.00,1831,,1990,lolcat
100.01,1831,,1992,snacky
100.00,1831,,1989,jigglypuf
50.00,1831,,1988,jangofett
19.58,1831,,1987,flicky
10.00,1831,,1991,poxnor
10.00,1831,,1993,testper
448.27,1814,,1923,earlgrey
378.14,1814,,1925,pinkiepie
133.35,1814,,1924,notapony
20.00,1814,,1922,(asciichar)tea
15.00,1814,,1927,the old man
10.00,1814,,1926,rarity
300.00,1806,,1876,arthur
145.00,1806,,1881,ranecloud
120.00,1806,,1880,rane
53.35,1806,,1882,waahh
10.00,1806,,1877,clod
10.00,1806,,1878,goober
6.00,1806,,1879,kefka
50.00,1864,,2171,any% coop with hurblat
5.00,1864,,2172,low%
56.00,1824,,1960,kickpuncher
50.00,1824,,1961,nevermore
50.00,1824,,1962,pikapikapikapoop
10.00,1824,,1959,cocktail
5.00,1824,,1963,slipomatic
62.01,1851,,2122,lunk
30.00,1851,,2121,cat
20.00,1851,,2120,boney
205.00,1848,,2105,davis
200.00,1848,,2108,starbucks cares
50.00,1848,,2107,lucas
10.00,1848,,2106,hope
50.00,1820,,1942,bacon
35.69,1820,,1943,cancer
5.00,1820,,1944,chikin
219.12,1849,,2114,potato
185.00,1849,,2115,sda
22.00,1849,,2113,legos (all caps)
20.00,1849,,2116,sdt5k (all caps)
15.00,1849,,2117,tas (all caps)
10.66,1849,,2111,fart
10.00,1849,,2109,crow
7.77,1849,,2112,lamp
6.66,1849,,2110,duck
55.00,1847,,2104,omnislash
17.00,1847,,2103,counter-hit
555.00,1813,,1921,tlrlhs
340.00,1813,,1920,lunk
30.00,1813,,1919,dude
25.00,1813,,1918,arvar
222.00,1832,,1996,barret
108.00,1832,,1997,tifa
0.00,1832,,1995,aeris
200.00,1853,,2125,dfish
30.00,1853,,2126,duster
8.95,1853,,2127,guam
305.02,1833,,2001,lunk
135.08,1833,,2002,skullkid
105.00,1833,,2000,bob ross
25.00,1833,,1998,895
13.00,1833,,1999,ben
300.00,1837,,2012,eri
245.00,1837,,2014,marco
21.00,1837,,2013,fio
0.00,1837,,2015,tarma
305.00,1829,,1978,fio
0.00,1829,,1977,eri
0.00,1829,,1979,marco
0.00,1829,,1980,tarma
46.00,1858,,2150,romscout
20.00,1858,,2148,lag.com
18.77,1858,,2149,moooh
1.00,1858,,2152,twitch tv
0.00,1858,,2147,fireball
0.00,1858,,2151,shadowwraith
140.00,1855,,2138,rane
55.00,1855,,2135,pinkie
35.00,1855,,2137,quote
30.00,1855,,2136,pookie
11.11,1855,,2133,lucas
10.00,1855,,2132,ippy
0.00,1855,,2131,cancer
0.00,1855,,2134,money
324.16,1812,,1915,lunk
133.00,1812,,1916,navigatr (see comment)
10.00,1812,,1913,bobross2
5.00,1812,,1914,horse (all caps)
5.00,1812,,1917,papajohn
186.00,1840,,2033,moriga
100.00,1840,,2031,butch
11.00,1840,,2032,lotte
5.00,1840,,2030,blue
254.02,1816,,1930,blue
251.00,1816,,1931,red
355.00,1817,,1932,b-man
30.00,1817,,1933,mojo3
15.00,1817,,1934,no. 2
344.00,1862,,2167,french
20.00,1862,,2168,spanish
0.00,1862,,2166,english
185.00,1843,,2037,cyanide
131.00,1843,,2038,finalhero
10.00,1843,,2039,meow mix
10.00,1843,,2040,nanaki
10.00,1843,,2041,raneine
10.00,1843,,2042,repede
350.00,1818,,1939,venonat
321.00,1818,,1935,cancer
105.00,1818,,1937,lag
65.00,1818,,1938,smk
10.00,1818,,1936,dscord
466.01,1852,,2123,kill the animals
352.00,1852,,2124,save the animals
180.00,1860,,2156,cbx
130.00,1860,,2160,lunk
60.01,1860,,2157,elive
10.00,1860,,2161,sweden
5.00,1860,,2159,frezy
0.00,1860,,2158,france
161.00,1805,,1869,everlasting love
21.00,1805,,1874,kuru kuru rock
16.00,1805,,1868,disco prince
13.00,1805,,1866,baby universe
11.00,1805,,1870,houston
11.00,1805,,1872,katamari on the rocks (arrangement)
11.00,1805,,1873,katamari on the swing
1.00,1805,,1865,angel rain
1.00,1805,,1867,bluffing damacy
1.00,1805,,1871,katamari holiday
1.00,1805,,1875,sunbaked savanna
663.95,1842,,2036,richter
465.00,1842,,2035,alucard
5.00,1841,,2034,shotgun
148.00,1854,,2129,bilt
129.25,1854,,2128,bahamut
90.00,1854,,2130,malkovich
295.00,1808,,1887,cormano (shotgun)
5.00,1808,,1885,billy (pistols)
0.00,1808,,1886,bob (shotgun)
0.00,1808,,1888,steve (pistols)
5927.77,1861,,2164,poxnor
3807.09,1861,,2163,esports (all caps)
25.00,1861,,2165,slappy
10.00,1861,,2162,denied
301.11,1838,,2019,green
210.00,1838,,2025,sda
85.01,1838,,2021,pinkie
75.02,1838,,2017,engmike
40.00,1838,,2020,nasir
40.00,1838,,2022,rane
25.00,1838,,2018,flutter
10.25,1838,,2027,trihex
10.00,1838,,2024,rbdash
5.00,1838,,2016,apljack
5.00,1838,,2023,rarity
5.00,1838,,2026,sparkle
498.00,1822,,1952,sparkles
388.00,1822,,1948,brooks
70.00,1822,,1950,hobo joe
25.00,1822,,1953,weiss
5.00,1822,,1947,bill
5.00,1822,,1949,clark
2.00,1822,,1951,kentbuckl
45.00,1834,,2004,ff2
5.00,1834,,2005,ff8
0.00,1834,,2003,ff14
390.00,1810,,1902,moose
200.58,1810,,1905,tossgirl
70.00,1810,,1897,dalecody
50.00,1810,,1903,rikku
40.00,1810,,1899,jprophet
20.00,1810,,1904,she gone
11.00,1810,,1898,idiot
10.00,1810,,1895,burden
10.00,1810,,1900,lunk
10.00,1810,,1901,mana
10.00,1810,,1906,yuffie
5.00,1810,,1896,cheyenne
329.82,1811,,1909,epsilon
265.00,1811,,1912,lunk
160.00,1811,,1911,lilgayal
35.00,1811,,1907,biggoyal (all caps  not a typo)
20.00,1811,,1908,brooks cracktackle!!!!!!
5.00,1811,,1910,i am darkwing duck!!
1480.39,1839,,2029,oracle of seasons
583.00,1839,,2028,link's awakening dx
0.00,141,,142,English
0.00,141,,143,French
0.00,141,,144,German
0.00,141,,145,Italian
0.00,141,,146,Spanish
171.91,147,,153,Door 6
56.00,147,,151,Door 4
55.00,147,,152,Door 5
44.01,147,,150,Door 3
30.00,147,,148,Door 1
24.13,147,,149,Door 2
100.00,154,,155,0xwas
50.00,154,,156,ApplBapl
30.00,154,,157,Lee
10.00,154,,160,Yellow
5.00,154,,158,MOESHA
5.00,154,,159,XmasPoon
5.00,154,,161,ZYXXY
13.50,162,,163,peach
9.00,162,,166,yellow
6.01,162,,164,red
5.00,162,,165,Vergil colors
1255.32,167,,168,Rayman
970.31,167,,169,Rayman Origins
544.99,170,,172,US
135.00,170,,171,JP
168.00,173,,174,Knuckles
132.50,173,,175,Sonic
175.64,176,,180,Judas
165.00,176,,178,Eve
100.00,176,,177,Cain
15.00,176,,182,Samson
5.00,176,,179,Isaac
0.00,176,,181,Magdalene
110.00,183,,185,Save
63.64,183,,184,Kill
109.00,186,,188,Mariko
108.00,186,,189,RipardTeg
20.00,186,,190,WHENSMARVEL
11.00,186,,187,Eridan
10.00,186,,191,Yes Man
530.00,192,,197,Shave
40.00,192,,195,Don't Shave -> Mullet
40.00,192,,196,Don't Shave -> No Style
0.00,192,,193,Don't Shave -> Afro
0.00,192,,194,Don't Shave -> Dredlocks
1368.00,198,,199,Mega Man 7
1038.43,198,,200,Mega Man 8
275.00,201,,203,Rockman
141.00,201,,202,Forte
1057.00,204,,205,Mega Man 10
647.50,204,,206,Mega Man 9
587.33,207,,208,Julius
564.50,207,,209,Soma
1466.32,210,,212,Maria
259.00,210,,213,Richter
165.00,210,,211,Alucard
1347.02,214,,215,Pacifist
1096.24,214,,216,Race vs Duckfist
70.00,217,,220,Batman Beyond
45.00,217,,224,The Animated Series
27.00,217,,218,1970s
25.00,217,,223,Sinestro Corps
0.00,217,,219,Arkham City Batsuit
0.00,217,,221,Batman Inc.
0.00,217,,222,Earth One
0.00,217,,225,The Dark Knight Returns
0.00,217,,226,Year One
135.00,227,,228,Fusion Suit
25.00,227,,229,Regular Suit
50.00,230,,232,Cod of War
0.00,230,,231,Athena
0.00,230,,233,Dark Odyssey
0.00,230,,234,General Kratos
0.00,230,,235,God of War Armour
0.00,230,,236,Hercules
0.00,230,,237,Hydra Armour
0.00,230,,238,Regular Kratos
105.00,242,,243,FrankerZ
40.00,242,,245,zoee
5.81,242,,244,Idefix
247.50,246,,250,YOL-Os
100.00,246,,247,Cats
15.00,246,,248,Huzzah
5.00,246,,249,Lunk
333.00,251,,257,Ponies
169.48,251,,256,Mangos
50.00,251,,255,Duck
35.00,251,,254,chipin
35.00,251,,258,SDA
10.00,251,,252,Alpaco
5.00,251,,253,Booty
1.23,251,,259,TehUrn
311.00,260,,262,GrouchyHotdogfiend
270.00,260,,264,Zable Fahr
10.00,260,,261,CalgaryFlamesSuck
10.00,260,,263,MrEmptyPants
50.00,265,,268,Peanut
30.00,265,,267,Mint
0.00,265,,266,Banana
0.00,265,,269,Plain
0.00,265,,270,Strawberry
500.00,271,,273,Victor
20.00,271,,272,DW
10.00,271,,274,Zelkys
570.00,275,,276,DFish
500.00,275,,277,Magnto
15.00,275,,278,Ted W
100.00,279,,283,Jan
40.00,279,,282,Huzzah
15.00,279,,284,Rosa
5.00,279,,280,Brie
0.00,279,,281,Esnta (Essentia)
127.77,285,,286,Dung
15.00,285,,287,Edge
5.00,285,,288,Simba
1010.00,289,,291,Mario
60.00,289,,290,Luigi
881.18,292,,294,Baby
200.00,292,,293,Aiai
171.01,292,,295,Gongon
1.00,292,,296,Meemee
55.00,297,,300,HAT
30.00,297,,298,DIEHRD
5.00,297,,299,Fyaaa
170.01,301,,303,TriHard
95.00,301,,302,FrankerZ
5.00,301,,304,WinWaker
80.00,305,,309,Pink
55.00,305,,308,Green
16.00,305,,306,Black
0.00,305,,307,Blue
140.00,310,,312,French
71.00,310,,313,German
30.00,310,,315,Japanese
20.00,310,,314,Italian
0.00,310,,311,English
0.00,310,,316,Spanish
1201.76,317,,319,Silver
436.92,317,,320,Sonic
311.00,317,,318,Shadow
58.00,321,,322,Play
10.00,321,,323,Skip
5609.03,324,,325,Kill
5503.90,324,,326,Save
470.00,324,,328,Taunt
10.00,324,,327,Shave
180.00,329,,331,Ridley first
29.50,329,,330,Kraid first
3127.97,332,,341,Lynxthedark
2337.00,332,,335,DREWBY PLZ
200.00,332,,350,Woodalchi
177.40,332,,345,Sagat
100.00,332,,347,Scrooge McDuck
50.00,332,,342,MikeSigler
45.00,332,,337,Goonther
45.00,332,,339,KappaDemon
40.00,332,,343,Papa Smurf
35.00,332,,349,Toad Load
31.00,332,,338,Hans Gruber
15.00,332,,334,Buttfarm
10.00,332,,336,Ei-Ei-Poo
10.00,332,,340,Lonk
10.00,332,,344,PraiseTheSun
5.00,332,,333,13 characters
5.00,332,,348,Squint
4.50,332,,346,SANIC
345.00,351,,352,Dark Lord
275.00,351,,353,Link the Fire
824.50,354,,355,Female
125.73,354,,356,Male
441.01,357,,359,Save Kaidan
249.07,357,,358,Save Ashley
346.00,360,,363,Sypha
40.55,360,,362,Grant
1.00,360,,364,Trevor
0.99,360,,361,Alucard
2169.00,365,,369,nmbrSMW
1046.00,365,,368,MeatBoy
115.50,365,,370,poxnor
115.00,365,,372,SVegeta
96.17,365,,366,Batman
20.00,365,,371,Shaka
6.00,365,,367,Friskie
1337.00,373,,377,KeeFry
400.00,373,,378,Marina
115.50,373,,380,poxnor
50.00,373,,375,Bisu
33.32,373,,374,Aimee
30.00,373,,383,Sting
10.00,373,,376,Bonemom
10.00,373,,379,Mikalia
10.00,373,,382,Sarah
5.00,373,,381,Raisin
1337.00,384,,387,LLK
160.50,384,,388,poxnor
140.00,384,,391,Shiori(tilde)
90.00,384,,385,2beard
90.00,384,,390,Sango
70.00,384,,394,YuRiPa
66.66,384,,386,ESPORTS
29.39,384,,392,Team2A
2.00,384,,389,Rarity
1.00,384,,393,Unicorn
2195.50,395,,396,Esentia
1650.00,395,,397,nmbrSMW
115.50,395,,398,poxnor
3387.00,399,,406,Yetee
1581.01,399,,400,miss mv
200.00,399,,407,Zoiberg
115.50,399,,401,poxnor
100.00,399,,405,Vegeta
25.00,399,,403,Shane
10.00,399,,402,RedZone
10.00,399,,404,Spud
15060.37,408,,415,Violet
1060.00,408,,410,OlBobby
115.50,408,,411,poxnor
30.00,408,,414,SgtSnood
10.00,408,,409,Athena
10.00,408,,413,Rusty
5.02,408,,412,Purple
800.00,416,,417,Batman
595.00,416,,423,ZachSK
278.45,416,,421,Sagat
140.50,416,,420,poxnor
125.00,416,,422,VVVVVV
41.00,416,,418,Chemo
20.00,416,,419,Dethfur
1327.00,424,,433,mr mv
732.16,424,,434,poxnor
255.00,424,,426,CaraPls
215.00,424,,428,Emo git
173.00,424,,437,Wolfteam
150.00,424,,425,Athena
50.00,424,,427,Ehrgeiz
40.00,424,,432,Ken M
25.00,424,,436,Violet
20.00,424,,429,GCRL
20.00,424,,435,songoku
11.00,424,,430,Goku
10.00,424,,438,YSG
5.00,424,,431,HFT
788.00,439,,442,FranceZ
640.10,439,,441,BIGRUSS
100.00,439,,445,Poxnor
85.00,439,,447,TROLFISH
40.00,439,,446,TehUrn
30.00,439,,444,MILKSHKE
5.00,439,,448,ZOOMTUBE
3.00,439,,440,Auro
0.00,439,,443,Lunk
1327.70,449,,450,F MY HOT TAS
750.00,449,,453,Papou
40.00,449,,452,LUNK
5.00,449,,451,INEB
0.00,449,,454,PG13
1378.00,455,,461,MASTER P
682.00,455,,457,BFJERKY
90.00,455,,462,McClane
30.00,455,,456,Awesome
30.00,455,,459,LISTEN!
15.00,455,,458,Bonemom
10.00,455,,460,Lunk
1989.32,463,,464,Dante
1588.00,463,,465,Vergil
80.00,466,,467,Shirt off
55.00,466,,468,Shirt on
549.39,469,,473,SMK
422.37,469,,470,Cancer
25.00,469,,471,Horror
25.00,469,,474,Spinner
20.00,469,,475,Wak
10.00,469,,472,Sagat
5.00,469,,476,Yanama
1642.33,477,,478,A Shark
275.00,477,,479,BakuHaku (and two female symbols)
15.00,477,,482,YSG
14.19,477,,481,SourceRuns
3.00,477,,480,Gaben
10246.88,483,,489,FrankerZ
9378.42,483,,494,Mirrord's Choice
1240.00,483,,484,aTASskip
327.33,483,,492,LilCosmo
165.00,483,,499,TARKUS
55.00,483,,496,OctoLink
54.88,483,,502,WooferZ
51.00,483,,488,francoZ
50.00,483,,487,eh
50.00,483,,497,Rarity
35.00,483,,493,LUNK
25.00,483,,500,Trohnics
20.64,483,,485,Banana
15.00,483,,503,XmasPoon
10.01,483,,490,Groomp
10.00,483,,501,Tupac
5.00,483,,495,Octodad
5.00,483,,498,Shaka
4.37,483,,486,Cosmo437
1.00,483,,491,Jvebo
2337.00,504,,510,Beef Jerky
2183.04,504,,526,Die Hard
571.00,504,,537,FF IX
490.99,504,,539,FF Tactics
474.00,504,,592,The Box
330.00,504,,541,FF VIII
235.00,504,,542,FF X-2
230.00,504,,525,Demon Rush
205.00,504,,587,Super Mario RPG
200.00,504,,527,Dragonbox Z
175.01,504,,540,FF VI
150.00,504,,507,Arkanoid
150.00,504,,535,FF9
140.00,504,,546,F-Zero X
135.00,504,,590,TheatRhythm
105.00,504,,580,Skylight
102.66,504,,509,Barkley  Shut Up and Jam: Gaiden
100.73,504,,532,Ehrgeiz
100.00,504,,600,Xenogears Disc 2
75.00,504,,521,Chu Chu Rocket
55.02,504,,520,Chrono Trigger
55.00,504,,514,BlueGlass
55.00,504,,573,Pocky & Rocky
52.00,504,,523,Cosmo
51.67,504,,599,Wayne Gretzky's 3D Hockey
50.01,504,,569,neskamikaze
50.00,504,,515,Caracarn
50.00,504,,554,I wanna be the guy
50.00,504,,562,Luna
50.00,504,,564,Metroid Fusion
50.00,504,,567,Mirrored
48.95,504,,561,Lost Odyssey
40.00,504,,557,Labyrinth of Touhou
35.00,504,,558,Lawnmower Man
35.00,504,,568,Mystic Quest
32.16,504,,536,FF I
32.00,504,,593,The Final Fantasy Adventure
30.01,504,,585,SpikeVegeta
30.00,504,,511,Beer Pong
30.00,504,,524,Deer Hunter
30.00,504,,533,E.T. for Atari
30.00,504,,552,Halo
30.00,504,,565,Metroid Prime
30.00,504,,577,Rainbow Dash
30.00,504,,583,Sonic 2006
30.00,504,,595,The Final Fantasy XXVII
25.00,504,,549,Grandia
25.00,504,,574,Pong
25.00,504,,584,Speed Demos Archive
25.00,504,,591,The Bouncer
20.00,504,,529,Dungeons and Dragons
20.00,504,,556,Kingdom Hearts
20.00,504,,596,Thousand Arms
15.00,504,,506,Aquaria
15.00,504,,517,Castlevania:Bloodlines
15.00,504,,519,Chrono Cross
15.00,504,,530,Earnest Evans
15.00,504,,555,Johnny Depp
15.00,504,,572,Persona 4
15.00,504,,597,Timecop
15.00,504,,598,Virtua Quest
11.01,504,,560,Legend of Mana
